treeid,dbh,scorch,intensity_-19.9,intensity_-19.7,intensity_-19.5,intensity_-19.3,intensity_-19.1,intensity_-18.9,intensity_-18.7,intensity_-18.5,intensity_-18.3,intensity_-18.1,intensity_-17.9,intensity_-17.7,intensity_-17.5,intensity_-17.3,intensity_-17.1,intensity_-16.9,intensity_-16.7,intensity_-16.5,intensity_-16.3,intensity_-16.1,intensity_-15.9,intensity_-15.7,intensity_-15.5,intensity_-15.3,intensity_-15.1,intensity_-14.9,intensity_-14.7,intensity_-14.5,intensity_-14.3,intensity_-14.1,intensity_-13.9,intensity_-13.7,intensity_-13.5,intensity_-13.3,intensity_-13.1,intensity_-12.9,intensity_-12.7,intensity_-12.5,intensity_-12.3,intensity_-12.1,intensity_-11.9,intensity_-11.7,intensity_-11.5,intensity_-11.3,intensity_-11.1,intensity_-10.9,intensity_-10.7,intensity_-10.5,intensity_-10.3,intensity_-10.1,intensity_-9.9,intensity_-9.7,intensity_-9.5,intensity_-9.3,intensity_-9.1,intensity_-8.9,intensity_-8.7,intensity_-8.5,intensity_-8.3,intensity_-8.1,intensity_-7.9,intensity_-7.7,intensity_-7.5,intensity_-7.3,intensity_-7.1,intensity_-6.9,intensity_-6.7,intensity_-6.5,intensity_-6.3,intensity_-6.1,intensity_-5.9,intensity_-5.7,intensity_-5.5,intensity_-5.3,intensity_-5.1,intensity_-4.9,intensity_-4.7,intensity_-4.5,intensity_-4.3,intensity_-4.1,intensity_-3.9,intensity_-3.7,intensity_-3.5,intensity_-3.3,intensity_-3.1,intensity_-2.9,intensity_-2.7,intensity_-2.5,intensity_-2.3,intensity_-2.1,intensity_-1.9,intensity_-1.7,intensity_-1.5,intensity_-1.3,intensity_-1.1,intensity_-0.9,intensity_-0.7,intensity_-0.5,intensity_-0.3,intensity_-0.1
A-04-6978,18.4,45,0.016589331108411338,0.017077252611599907,0.016125805680381914,0.019004542549194755,0.01902893862435418,0.021956467643485595,0.022005259793804452,0.022712745973427474,0.024810808437138725,0.026006216119950718,0.027689545305951278,0.026518533698298714,0.0302267371225313,0.030787846851198692,0.031934462383691825,0.0335446033442141,0.03215402706012668,0.0322272152856044,0.0345692385009101,0.036618508814302085,0.034935179628301526,0.039741206434708576,0.03893613595444744,0.04218081395065177,0.042254002176130054,0.0483774170411466,0.046230562427116484,0.04730398973413132,0.049036111070451166,0.04845060526662488,0.05252474981824943,0.05452522798132208,0.055647447438655774,0.05855058038262825,0.0631370425126008,0.06216119950622366,0.06455201487184707,0.06545466965274592,0.06830901044639963,0.0652838971266305,0.07060224151138528,0.07296866080185047,0.07289547257637218,0.07501793111524178,0.0772867661050693,0.08258071441466454,0.079775165771331,0.07816502481080803,0.07899449136622928,0.08031187942483842,0.0835809534962011,0.08265390264014355,0.08187322823504112,0.08097057345414299,0.08128772243121556,0.0851423023064045,0.08131211850637499,0.0792628481929823,0.08228796151275213,0.0827758830159407,0.08409327107454909,0.08182443608472299,0.07738435040570632,0.07782347975857672,0.07550585261843103,0.07733555825538747,0.06762592034193564,0.07050465721074757,0.06796746539416763,0.0667476616361962,0.0637957365419048,0.06096579182341167,0.055964596415728346,0.05379334572653971,0.05013393445262544,0.04476679791755079,0.044278876414362615,0.04552307624749306,0.04459602539143519,0.046254958502276323,0.05220760084117686,0.05025591482842169,0.05252474981824943,0.0549887534093517,0.05820903533039626,0.059111690111295107,0.05713560802338039,0.051475718586394006,0.041351347395231206,0.030690262550560978,0.024810808437138725,0.019614444428180118,0.012076057203917077,0.008245873403886812,0.004879215031885688,0.003195885845885069,0.0018541017121165614,9.514469312177092e-4,4.8792150318856877e-4,1.2198037579714219e-4
A-04-6982,4.3,100,0.02203478178458047,0.023456380609392112,0.02487797943420331,0.026773444533952615,0.02369331374686072,0.030327441595981722,0.021797848647111862,0.02487797943420331,0.032696772970667795,0.027484243946358435,0.027010377671421223,0.03459223807041665,0.03482917120788464,0.03553997062029108,0.042174098469412086,0.039330900819788794,0.035066104345353864,0.04170023219447412,0.0492820925934703,0.046438894943847016,0.04572809553144119,0.05354688906790476,0.058048618679808255,0.05899635122968319,0.05283608965549941,0.07652940340236013,0.06373501397905477,0.05733781926740244,0.0625503482917123,0.048808226318533085,0.05852248495474598,0.0604179500544943,0.06349808084158617,0.05283608965549941,0.05947021750462041,0.06634127849121002,0.06799981045348967,0.06776287731602106,0.07344927261526824,0.06634127849121002,0.07273847320286177,0.07676633653982874,0.08505899635122999,0.08103113301426294,0.09643178694972314,0.10045965028668857,0.09785338577453477,0.08884992655072692,0.09714258636212895,0.10614604558593603,0.09998578401175136,0.09335165616263123,0.10353978107378044,0.08505899635122999,0.09050845851300796,0.09903805146187694,0.09429938871250566,0.09619485381225368,0.10306591479884414,0.09477325498744288,0.11751883618442814,0.11112164147277678,0.1066199118608723,0.09666872008719174,0.08505899635122999,0.08695446145097807,0.07937260105198342,0.07558167085248503,0.06847367672842748,0.07510780457754848,0.0604179500544943,0.05188835710562498,0.05165142396815591,0.03553997062029108,0.029853575321044507,0.02653651139648377,0.018954650997488578,0.016111453347865148,0.01776998531014554,0.010661991186087324,0.008292659811401253,0.009003459223806912,0.009003459223807074,0.0061602615741837875,0.00592332843671518,0.006871060986589609,0.002843197649623236,0.002132398237217465,0.0023693313746860722,0.002132398237217465,9.477325498744288e-4,4.7386627493720596e-4,4.738662749372144e-4,4.738662749372144e-4,0,0,0,0,0,0
A-04-6988,4.3,100,0.018301526278229306,0.018301526278229306,0.01772600658394505,0.018992149911370035,0.019107253850226824,0.0212942286885058,0.02601349018163411,0.02417182715992507,0.02589838624277732,0.025783282303920536,0.024747346854209443,0.027855153203342718,0.03027233591933473,0.03245931075761424,0.03245931075761424,0.03234420681875746,0.02969681622505133,0.031308271369045806,0.03510670135132037,0.03303483045189819,0.034300973779322855,0.0346462855958929,0.03844471557816688,0.04431501645986342,0.039480651027878316,0.045235847970717724,0.04385460070443587,0.04822855038099378,0.05409885126269041,0.05133635673012749,0.06319206243237667,0.06042956789981321,0.06791132392550436,0.06457330969865813,0.075508183890053,0.08391077142659853,0.0827597320380299,0.07999723750546701,0.07124933815235183,0.06618476484265316,0.06802642786436115,0.07067381845806789,0.079306613872327,0.07435714450148444,0.07769515872833196,0.08667326595916065,0.08529201869287999,0.09726282833398507,0.09588158106770449,0.11107530099680052,0.1164851861230685,0.11475862704021773,0.11360758765164883,0.11188102856879803,0.11049978130251657,0.11671539400078208,0.10796749464766724,0.11026957342480201,0.12051382398305714,0.12811068394760516,0.1299523469693126,0.1373189990561482,0.1270747484978929,0.13916066207785682,0.12500287759847187,0.11637008218421172,0.07965192568889737,0.06445820575980075,0.05881811275581872,0.05329312369069289,0.045811367665001254,0.03338014226846855,0.03717857225074222,0.031078063491332786,0.02658900987591805,0.02463224291535243,0.021409332627362585,0.017035382950804485,0.01565413568452318,0.012661433274246691,0.011395289946822021,0.0064458205759800186,0.004949469370841888,0.00241718271599255,0.0017265590828518214,0.0016114551439950335,5.755196942839303e-4,0.0010359354497110928,6.906236331407286e-4,3.453118165703643e-4,2.302078777135762e-4,0,2.302078777135762e-4,2.302078777135762e-4,0,0,0,0,0,0
A-04-6993,10.8,100,0.023129567485147193,0.02441902072473728,0.022646022520300506,0.024821974862109183,0.026175900763678775,0.027416999506784234,0.02896434339429234,0.029560715517602226,0.031301477391049375,0.03436392883507583,0.034267219842106574,0.03547608225422228,0.03723296229316311,0.040359886399169737,0.04152039431480081,0.04371246482210397,0.04003752308927221,0.040134232082240755,0.040504949888623624,0.04245524791350363,0.04066613154357238,0.04356740133264969,0.04408318262848572,0.04524369054411719,0.04616242597732513,0.04974065871718762,0.048966986773433134,0.0495955952277333,0.054769526351588965,0.0517070749075625,0.05910531286971063,0.059637212331041016,0.06274801827155208,0.06680979597626141,0.07035579238513415,0.0803007004954727,0.08084871812229776,0.07951091038622306,0.07590044131537152,0.06866338500817215,0.07208043609308525,0.07198372710011663,0.07145182763878571,0.07219326325154937,0.07506229670963796,0.07754449419584819,0.07959150121369815,0.08481378683403724,0.08884332820775702,0.099642499089324,0.10015828038515914,0.1020763420790503,0.10070629801198493,0.09675734746574119,0.09242156094761952,0.09363042335973439,0.08570028593625618,0.08186416254847495,0.08815024709147735,0.09093868972209092,0.09372713235270365,0.09448468613096365,0.09105151688055424,0.08989100896492397,0.08362104258741718,0.08433024186919097,0.06547198824018668,0.05941155801411275,0.050917284798313575,0.04584006266742761,0.03974739611036409,0.03871583351869238,0.03425110167661139,0.03330012991241401,0.03230080365173169,0.030834050591697693,0.031785022355895656,0.032204094658762145,0.03778097991998956,0.043261156188247434,0.052658046671760196,0.06387628985619281,0.06374734453223495,0.05509188966148649,0.03660435383886361,0.017149728086548164,0.007349883465663367,0.004803213317473075,0.003610469070852245,0.00346540558139836,0.0023048976657672813,0.0017729982044363385,0.0010960352536515743,5.31899461330911e-4,2.256543169282653e-4,1.4506348945388225e-4,8.059082747438046e-5,3.223633098975219e-5,3.223633098975219e-5,0
A-04-7007,41.1,50,0.031199187268661745,0.031494247238465764,0.030609067329053167,0.033160201221820756,0.03496233672970068,0.03655112118249154,0.03585659540741439,0.03601093446854201,0.036528424261737386,0.037967409037550824,0.03764057337869099,0.03838503237942728,0.04126300193105343,0.041263001931054165,0.0431695432744032,0.04604297344187925,0.04523950244718215,0.04639250602149242,0.047935896632775796,0.04914337281689685,0.048199180913523994,0.05090919325156967,0.05278849829001371,0.05357381174810794,0.05370999327263288,0.0581449715879948,0.056406387458226015,0.05602053980540538,0.05700558616613621,0.05599784288465172,0.05882133982646863,0.060210391376622395,0.061672073073189976,0.06080959008453263,0.06178101829281047,0.0651038474912188,0.06177647890865909,0.0628613917207077,0.0640961042097343,0.0603238759803937,0.06533535608291059,0.0654125256134753,0.06507207180216297,0.06631132367533926,0.0664656627364681,0.07060558108202539,0.06807714411001312,0.06754149678021446,0.06584376710780425,0.06953428642242988,0.07052387216731043,0.0705601872405177,0.06927100214168107,0.0693027778307375,0.06987474023374221,0.07212173538840294,0.0685855551349062,0.0647497755274534,0.06874897296433612,0.06553962836969857,0.06594363355912194,0.06348782673352293,0.06212601148827308,0.06243015022637931,0.06011506430945548,0.06162667923168167,0.05463602763940241,0.05623843024464527,0.05646086006803649,0.055276080804669586,0.054268337523184614,0.053732690193387035,0.05297915242434861,0.05356473297980628,0.05449076734657582,0.054277416291486275,0.05508088728618385,0.05662427789746591,0.05731880367254356,0.059356987156266694,0.05930705393060755,0.05831292880157452,0.05731880367254356,0.055652849689188565,0.0533332243881139,0.04858956795049546,0.04640158478979408,0.04086353612578103,0.035611468663269516,0.028988507187207028,0.02187983160700562,0.01572442669847845,0.011048861023122754,0.006981572823978141,0.004366887553099461,0.002342322221828776,0.001434445391662609,7.626165373396149e-4,3.767688845189764e-4,1.6341782942991747e-4
A-04-7018,44.2,10,0.02158128218549968,0.023589296697790977,0.023131157464403713,0.025957974010833624,0.027142312667354947,0.03097801029156187,0.03033466583616757,0.031801686147331275,0.03335643524786807,0.034467666579912765,0.035013534602671564,0.03388280798409977,0.036675507779106185,0.038439831209809386,0.03940972171453261,0.04400573551329643,0.04405447372961418,0.0447514302229572,0.045618970473413956,0.04823133886804535,0.047514887088174425,0.05036119892113058,0.052603156871747055,0.054157905972283746,0.05666305029101609,0.05972381027577079,0.05903172760405821,0.060245309190370175,0.061619726890531266,0.058861143846946615,0.06219483784308071,0.06332556446165194,0.06575272763427588,0.06655690820351934,0.06811653112568733,0.072390872696754,0.0703584890763032,0.07101158117496105,0.0729367407195128,0.06918389806304606,0.07222516276127301,0.0747887929395873,0.074925259945277,0.07656286401355271,0.07913136801349882,0.0827526174859069,0.0801110061614856,0.07984781979336904,0.0765238734404992,0.08130996628290224,0.08149029768327719,0.08140256889390597,0.0810029155200997,0.07922397062450255,0.07919472769471189,0.08364452684452171,0.07854163559605405,0.07334126791494947,0.07524693217297415,0.07319505326599687,0.06888659494350717,0.06473409891323549,0.059129204036693715,0.05310516049982035,0.04685204734625303,0.04470269200663986,0.037206754336970314,0.03657315752483924,0.035783598420492016,0.033093248879752214,0.03472110530476476,0.034331199574223065,0.03541806179810857,0.03774287471646556,0.04061842947921281,0.04286038742982892,0.04508285009391871,0.04703237874662828,0.049625251854733,0.052505680439112024,0.05351456151688945,0.055595683353656375,0.05748185232515429,0.05699447016197679,0.056341378063318945,0.05577601475403304,0.051720995156395326,0.04749051798001555,0.041578572340672484,0.03524260421936499,0.027975736166388473,0.02101104505458163,0.014816417760595986,0.01019603485367329,0.006448066018838319,0.004084262527427373,0.002134733874717448,0.0011648433699942239,6.920826717120493e-4,2.3881725995697476e-4
A-04-7019,43.6,90,0.023268313684839892,0.026373954845485877,0.026593337885531036,0.029417894526119027,0.030946720086437028,0.034497983047175704,0.03612278868751367,0.0366986691676328,0.03897476820810689,0.03929013132817249,0.039365544248188174,0.03878966376806839,0.04331443896900879,0.04317046884897961,0.04465130436928763,0.04984794013036855,0.047050806369786737,0.04777065696993562,0.04950515413029725,0.0513904771306894,0.049422885490280136,0.05493488437142616,0.055222824611486046,0.05770459525200276,0.06099534085268725,0.06471799681346158,0.06174261433284213,0.06090621649266816,0.062270504772952484,0.06141353977277424,0.06327829561316212,0.06355938013322,0.06396386761330414,0.0647522754134687,0.06564351901365409,0.06779621509410186,0.06707636449395152,0.06577377769368059,0.06649362829383092,0.06375819601326194,0.0682898269342039,0.06811157821416745,0.06917421481438848,0.06847493137424242,0.06789219517412182,0.07242382609506376,0.0703122643346252,0.06930447349441496,0.06658275265384946,0.06977751817451397,0.07031226433462456,0.06923591629440132,0.06977751817451334,0.06885885169432289,0.0688382845343186,0.07208104009499247,0.06963354805448403,0.06554753893363353,0.06816642397417885,0.06706265305394928,0.06591774781371053,0.06386103181328333,0.06283952953307029,0.0606662662926188,0.05858212741218529,0.05893176913225749,0.051507024370713646,0.05281646689098554,0.05010160177042131,0.0473044680098395,0.046234975689616625,0.045556259409475865,0.04436336412922734,0.04310876736896678,0.04216953372877141,0.042114687968759626,0.04192272780872008,0.04217638944877246,0.04306763304895822,0.044383931289232015,0.047187920769815254,0.04911437809021509,0.0506774822505411,0.05110253689062951,0.05110939261063094,0.05052665641050973,0.049573711330310626,0.046166418489602776,0.04288938432892114,0.037123723807721866,0.03117981456648551,0.026401377725491112,0.01934684184402421,0.014794643763077339,0.010722346082230286,0.007123093081481503,0.004325959320899815,0.002413213440501957,0.001508258400313723,7.609849201582876e-4
A-04-7022,4.1,100,0.025688386676186725,0.02429143513488352,0.024136218296960513,0.029568807624251185,0.02832707292087056,0.029646416043212474,0.028792723434638293,0.03461335485673437,0.03787290845310913,0.04066681153571554,0.040201161021947804,0.038416167385838154,0.04594418402508239,0.04951417129730251,0.05129916493341216,0.05060068916276056,0.04664265979573481,0.04943656287834034,0.04796200291807673,0.05137677335237345,0.04881569552665091,0.05114394809548913,0.053472200664327785,0.05199764070406376,0.057663055288237876,0.05843913947785077,0.05836153105888896,0.06037934995188246,0.06728649923943773,0.06200912675007007,0.06488063825163777,0.07186539595815317,0.07916058734051429,0.08071275571974076,0.08296339986961816,0.09297488591562446,0.09514792164653972,0.09817464998602997,0.09087945860366965,0.08125601465246979,0.08389470089715288,0.08808555552106324,0.08575730295222457,0.08808555552106245,0.08948250706236645,0.09018098283301725,0.09095706702263094,0.09646726476888162,0.09475987955173411,0.1142395927110177,0.11198894856113932,0.11113525595256614,0.11462763480582314,0.10709961816657909,0.10477136559774042,0.10112376990655893,0.09677769844472764,0.08862881445379148,0.09243162698289543,0.09670009002576635,0.10112376990655893,0.09732095737745666,0.09817464998602997,0.08288579145065687,0.07124452860646349,0.06860584236177904,0.050057430230031535,0.0419085462390958,0.03368205382919951,0.029491199205289895,0.023204917269425265,0.018315586874864252,0.015832117468102855,0.013969515413032057,0.01164126284419338,0.009157793437432045,0.007683233477167631,0.008381709247819159,0.008226492409896655,0.008304100828857944,0.01070996181665791,0.010787570235619007,0.014279949088877213,0.014202340669915924,0.009778660789122439,0.004501288299754774,0.003104336758451513,0.0017073852171483625,0.001164126284419338,5.432589327290244e-4,0,1.5521683792257563e-4,7.76084189612892e-5,0,0,0,0,0,0,0
A-05-7217,46.3,80,0.027798477971230594,0.029024359557521372,0.02849852087708561,0.03111481026256459,0.031076098212471197,0.033253651030224554,0.03198583138966593,0.032776202412405454,0.03406660408218581,0.034266616341001664,0.036092534703740034,0.03423113029508272,0.03777328287862751,0.0381926634213066,0.0384733257844837,0.042350982802171894,0.04211225849326264,0.04328652401276145,0.04410592907307238,0.04582216329387947,0.044231743235875906,0.04782551188621213,0.049061071485026246,0.04959336217381083,0.050470835309261074,0.05481626293224443,0.05263548411031616,0.05383555766321133,0.05510982931211933,0.052938728502714874,0.056922843658159895,0.057303512150744425,0.05907458844251713,0.05949396898519608,0.061607001719460444,0.06660085618150814,0.06333291395279032,0.06506205219029519,0.06552982279559093,0.06328774989434859,0.06752349337540008,0.06864291682393461,0.06797835996399804,0.06891712717876221,0.07017526880679809,0.07356579919414377,0.0689945512789496,0.0694849039134653,0.06553304879976538,0.06934618573396459,0.06862356079888732,0.0690203593123452,0.0673815491917243,0.06854936270287558,0.06814288617689496,0.07221087744087502,0.06914617347514872,0.06559434287907934,0.06969136818063068,0.06964943012636284,0.06938167177988291,0.06865582084063242,0.06799771598904414,0.06541368664531075,0.06352647420325784,0.06380713656643439,0.05559695594246119,0.05511628132046774,0.0527709762856435,0.05079343572670601,0.04878686113019805,0.04849329475032358,0.04714482500540331,0.04658995228739843,0.04658995228739843,0.04712546898035661,0.04871911504253504,0.05155154670770117,0.05410331600969111,0.058000329052426,0.06158119368606485,0.0640490868795175,0.06605888748020064,0.06737187117920154,0.06660730818985704,0.06355873424500234,0.05922943664289017,0.05207093337978798,0.04445433752391292,0.03527958165177878,0.02705649701110723,0.019349573038347237,0.014371848597172136,0.00979414867362842,0.00621328403998957,0.0043002635645409916,0.00258402934373398,0.0014839619202467302,8.032750394379039e-4,4.097025301550755e-4
A-05-7222,12.5,95,0.02607245301001668,0.027996957450123358,0.025889166872863204,0.030517141835977344,0.029875640355941785,0.032991504687543076,0.03372464923615514,0.03207507400177742,0.031525215590318935,0.030792071041706868,0.03161685865889544,0.03143357252174243,0.03496183066193739,0.03601572595056786,0.037390371979215485,0.0396814486936282,0.040597879379393284,0.04004802096793352,0.04233909768234694,0.04174341773659964,0.043347171436688536,0.046783786508307196,0.05040368771707925,0.04902904168843207,0.049441435497026356,0.051457583005709545,0.05067861692280878,0.05219072755432115,0.052511478294339393,0.05182415528001558,0.057047810188876565,0.054619268871598604,0.056589594845993525,0.053473730514392734,0.055764807228805446,0.0579184193403534,0.055764807228804954,0.05356537358296877,0.05516912728305814,0.052282370622898124,0.054390161200157335,0.053931945857275274,0.05351955204868099,0.05535241342021067,0.0569103455860118,0.060117852986189074,0.056818702517435295,0.055764807228804954,0.057185274791741326,0.06071353293193691,0.06254639430346652,0.05961381610901881,0.06451672027786144,0.059797102246171824,0.06263803737204358,0.06845737222665127,0.062317286632025806,0.055077484214481144,0.05933888690328928,0.06167578515199025,0.05686452405172305,0.05787259780606514,0.062271465097737004,0.06094264060337818,0.060896819069089926,0.06492911408645573,0.0574143824631826,0.06250057276917827,0.06309625271492612,0.064333434140709,0.06130921287768367,0.06456254181215026,0.06162996361770145,0.06511240022360931,0.06777004921232807,0.07042769820104619,0.07638449765851987,0.07872139590722015,0.08472401689898215,0.08852720424490725,0.08852720424490725,0.08435744462467462,0.07950036199012116,0.06946544598099347,0.06419596953784423,0.05695616712030006,0.048158432536954385,0.042018346942329164,0.0386733749392866,0.03794023039067453,0.03445779378476721,0.028546815861581906,0.028271886655852885,0.02213180106122681,0.016037537000888995,0.01085970362631607,0.0060026209917613095,0.0028409351258717646,0.0019703259743949334,9.622522200533396e-4
